id,user_id,account_id,agent_id,category,priority,subject,status,created_at,resolved_at,first_response_at,csat_score
1,1,1,101,billing,low,Invoice question,resolved,2024-03-01 10:00:00,2024-03-01 14:00:00,2024-03-01 10:30:00,5
2,3,2,102,technical,high,Export not working,resolved,2024-04-01 09:00:00,2024-04-01 12:00:00,2024-04-01 09:15:00,4
3,4,2,101,account,medium,Cannot add users,resolved,2024-04-15 11:00:00,2024-04-16 09:00:00,2024-04-15 12:00:00,3
4,5,3,103,technical,critical,API errors,resolved,2024-05-01 08:00:00,2024-05-01 09:00:00,2024-05-01 08:10:00,5
5,6,3,102,billing,low,Plan upgrade,resolved,2024-05-10 14:00:00,2024-05-10 16:00:00,2024-05-10 14:20:00,4
6,8,5,103,technical,high,Data sync issue,resolved,2024-05-15 07:00:00,2024-05-15 11:00:00,2024-05-15 07:30:00,2
7,9,6,101,account,medium,SSO setup help,open,2024-06-01 10:00:00,,2024-06-01 10:45:00,
8,11,8,102,technical,low,Feature request,open,2024-06-05 09:00:00,,2024-06-05 11:00:00,
9,1,1,103,billing,medium,Refund request,resolved,2024-06-10 13:00:00,2024-06-11 10:00:00,2024-06-10 13:30:00,4
10,13,10,101,technical,high,Login issues,resolved,2024-06-15 08:00:00,2024-06-15 09:30:00,2024-06-15 08:15:00,5
11,3,2,102,account,low,Password reset,resolved,2024-06-20 16:00:00,2024-06-20 16:30:00,2024-06-20 16:10:00,5
12,5,3,103,technical,critical,Service outage,escalated,2024-06-25 02:00:00,,2024-06-25 02:05:00,
