id,account_id,invoice_date,due_date,amount,tax,total,status,currency,paid_at
1,10,2024-02-03,2024-09-07,5063.79,1333.24,3496.6,active,USD,2024-06-10
2,3,2024-08-27,2024-09-23,3032.15,9838.69,8072.93,pending,USD,2024-11-27
3,9,2024-05-22,2024-02-05,2652.01,8898.23,7426.74,active,EUR,2024-05-20
4,4,2024-12-11,2024-04-22,6346.04,2647.2,4890.43,active,USD,2024-11-14
5,5,2024-01-01,2024-06-25,1316.89,9798.18,1624.2,inactive,GBP,2024-12-14
6,9,2024-01-04,2024-02-23,9040.25,5460.45,8347.6,pending,GBP,2024-03-14
7,3,2024-01-10,2024-06-26,9722.24,408.55,3584.51,pending,USD,2024-11-04
8,6,2024-09-28,2024-07-20,7497.28,9258.38,2375.01,active,USD,2024-07-01
9,3,2024-12-11,2024-07-26,6702.37,7353.22,2489.19,active,GBP,2024-02-13
10,1,2024-08-08,2024-04-27,9185.33,3503.09,8207.16,active,USD,2024-01-22
11,4,2024-07-11,2024-05-28,703.51,7735.53,3517.95,pending,EUR,2024-11-27
12,9,2024-06-01,2024-02-09,1793.89,9625.72,2662.01,active,GBP,2024-07-12
13,6,2024-07-20,2024-09-04,3858.1,5770.11,2554.68,pending,EUR,2024-01-17
14,9,2024-11-24,2024-12-24,6709.58,3648.57,709.04,pending,EUR,2024-10-11
