id,account_name,industry,company_size,plan_type,created_at,status,region,owner_id,mrr
1,account_name_1,industry_1,company_size_1,express,2024-03-26,pending,AU,10,644.64
2,account_name_2,industry_2,company_size_2,premium,2024-10-15,pending,JP,9,8609.19
3,account_name_3,industry_3,company_size_3,standard,2024-11-24,active,IN,5,7688.3
4,account_name_4,industry_4,company_size_4,premium,2024-02-10,inactive,DE,8,42.42
5,account_name_5,industry_5,company_size_5,express,2024-12-09,pending,DE,9,9127.15
6,account_name_6,industry_6,company_size_6,express,2024-05-27,pending,IN,10,1997.12
7,account_name_7,industry_7,company_size_7,premium,2024-03-18,pending,US,10,3248.32
8,account_name_8,industry_8,company_size_8,standard,2024-02-12,inactive,FR,1,2416.31
9,account_name_9,industry_9,company_size_9,express,2024-02-03,pending,BR,2,9780.07
10,account_name_10,industry_10,company_size_10,express,2024-03-05,pending,BR,9,1659.62
11,account_name_11,industry_11,company_size_11,express,2024-10-14,active,IN,4,7132.36
